基金代码,最新净值,成本净值,收益率(%),RSI,MACD信号,布林位置,大盘趋势,**最终决策**,移动止盈价(8%回撤),绝对止损价(-20%),绝对止损价(-15%),绝对止损价(-10%),短期回撤止损价(10%回撤)
004846,1.4045,1.372,2.37,46.42,死叉,中轨,弱势,因移动止盈卖出,1.5949,1.0976,1.1662,1.2348,-
007771,0.99,0.9731,1.74,47.4,死叉,中轨,弱势,因移动止盈卖出,1.7843,0.7785,0.8271,0.8758,-
023853,2.152,1.7966,19.78,18.67,死叉,中轨,弱势,因移动止盈卖出,2.1531,1.4373,1.5271,1.6169,-
015456,1.7609,1.7413,1.13,54.33,死叉,中轨,弱势,卖10%,1.7523,1.393,1.4801,1.5672,1.7142
017484,1.7232,1.7515,-1.62,49.63,死叉,中轨,弱势,因移动止盈卖出,1.7465,1.4012,1.4888,1.5764,-
005312,2.018,2.0907,-3.48,47.63,死叉,中轨,弱势,因移动止盈卖出,2.4303,1.6726,1.7771,1.8816,-
023098,1.7636,1.4651,20.37,25.82,死叉,中轨,弱势,因ADX趋势转弱减仓50%,1.7544,1.1721,1.2453,1.3186,-
005118,1.5055,1.5667,-3.91,37.79,死叉,中轨,弱势,因移动止盈卖出,1.5795,1.2534,1.3317,1.41,-
015916,1.7226,1.7898,-3.75,38.17,死叉,中轨,弱势,因移动止盈卖出,1.8704,1.4318,1.5213,1.6108,-
011372,0.7132,0.7121,0.15,52.75,死叉,中轨,弱势,因移动止盈卖出,1.0161,0.5697,0.6053,0.6409,-
