基金代码,基金简称,最新单位净值,日涨跌幅,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1周),平均滚动年化收益率(1季度),平均滚动年化收益率(1年),平均滚动年化收益率(1月),平均滚动年化收益率(半年)
014662,th,N/A,N/A,2022-09-26,2025-11-07,28.84%,12.99%,-10.74%,2.065,153.81%,30.93%,26.90%,46.10%,28.20%
008987,th,N/A,N/A,2022-09-26,2025-11-07,28.52%,13.03%,-10.89%,2.036,153.87%,30.69%,26.41%,45.92%,27.91%
008327,th,N/A,N/A,2022-09-26,2025-11-07,40.93%,34.54%,-34.53%,1.127,439233.62%,93.37%,26.91%,261.40%,43.10%
010524,th,N/A,N/A,2022-09-26,2025-11-07,34.45%,33.18%,-34.91%,0.978,171996.02%,83.00%,20.84%,226.23%,35.35%
014544,th,N/A,N/A,2022-09-26,2025-11-07,34.49%,34.21%,-46.36%,0.949,2330721.88%,71.84%,23.01%,330.23%,36.54%
011840,名称查找失败(011840),N/A,N/A,2022-09-26,2025-11-07,30.02%,33.04%,-42.63%,0.848,2918458.76%,67.82%,18.90%,261.36%,30.95%
015677,th,N/A,N/A,2022-09-26,2025-11-07,17.64%,18.54%,-19.91%,0.843,3850.79%,26.57%,8.88%,50.94%,13.72%
012734,th,N/A,N/A,2022-09-26,2025-11-07,29.52%,32.79%,-42.79%,0.839,3509579.10%,67.60%,18.62%,269.90%,30.64%
009239,th,N/A,N/A,2022-09-26,2025-11-07,29.16%,32.73%,-42.35%,0.830,3239423.54%,66.54%,18.26%,258.60%,29.92%
012551,th,N/A,N/A,2022-09-26,2025-11-07,24.58%,27.55%,-32.76%,0.820,386055.17%,47.08%,19.21%,138.14%,24.04%
014130,th,N/A,N/A,2022-09-26,2025-11-07,30.03%,35.42%,-48.73%,0.791,4894342.74%,70.21%,18.00%,338.90%,34.12%
010531,th,N/A,N/A,2022-09-26,2025-11-07,24.80%,29.55%,-35.66%,0.771,978473.99%,51.67%,19.46%,174.86%,25.05%
008400,th,N/A,N/A,2022-09-26,2025-11-07,18.61%,21.86%,-28.86%,0.760,41719.10%,29.80%,9.07%,70.42%,14.13%
014173,th,N/A,N/A,2022-09-26,2025-11-07,22.39%,28.72%,-38.17%,0.710,2256599.48%,49.61%,14.51%,182.03%,23.43%
011833,th,N/A,N/A,2022-09-26,2025-11-07,25.85%,33.72%,-46.40%,0.707,3920719.15%,61.52%,16.95%,262.25%,27.54%
001618,th,N/A,N/A,2022-09-26,2025-11-07,22.37%,28.99%,-35.65%,0.703,921401.69%,46.06%,16.48%,164.90%,22.12%
015877,th,N/A,N/A,2022-09-26,2025-11-07,21.68%,28.71%,-34.83%,0.685,336978.02%,46.09%,16.42%,151.25%,21.09%
012040,th,N/A,N/A,2022-09-26,2025-11-07,21.55%,29.00%,-39.11%,0.674,1570484.63%,45.21%,15.03%,175.38%,21.56%
014345,th,N/A,N/A,2022-09-26,2025-11-07,14.46%,19.23%,-22.78%,0.648,12954.85%,22.34%,9.27%,48.00%,12.68%
013084,th,N/A,N/A,2022-09-26,2025-11-07,19.58%,27.30%,-37.49%,0.644,316951.70%,43.44%,18.13%,153.75%,24.02%
013081,th,N/A,N/A,2022-09-26,2025-11-07,17.67%,24.44%,-31.42%,0.641,3982.00%,33.89%,8.11%,80.46%,14.39%
007874,th,N/A,N/A,2022-09-26,2025-11-07,18.98%,26.60%,-33.65%,0.638,1135055.13%,39.77%,10.43%,127.81%,17.05%
013122,th,N/A,N/A,2022-09-26,2025-11-07,19.96%,28.60%,-41.63%,0.628,1250486.89%,42.50%,11.85%,155.83%,19.94%
007816,th,N/A,N/A,2022-09-26,2025-11-07,17.51%,24.85%,-32.93%,0.624,570040.63%,32.56%,7.21%,89.37%,14.44%
015895,th,N/A,N/A,2022-09-26,2025-11-07,19.50%,28.38%,-35.24%,0.617,350909.68%,43.28%,14.03%,148.92%,18.65%
015676,th,N/A,N/A,2022-09-26,2025-11-07,19.67%,28.81%,-39.50%,0.613,2102509.67%,46.17%,11.69%,174.69%,20.54%
012809,th,N/A,N/A,2022-09-26,2025-11-07,17.05%,24.75%,-31.45%,0.608,11839.74%,31.14%,15.06%,92.39%,18.30%
015596,th,N/A,N/A,2022-09-26,2025-11-07,16.66%,24.36%,-33.12%,0.602,3255.04%,32.96%,7.13%,78.12%,13.24%
002974,th,N/A,N/A,2022-09-26,2025-11-07,19.57%,29.21%,-40.90%,0.601,1983983.44%,43.02%,13.19%,183.48%,19.66%
014194,th,N/A,N/A,2022-09-26,2025-11-07,20.66%,33.04%,-39.69%,0.565,29537073.84%,51.65%,17.75%,262.01%,23.35%
013278,th,N/A,N/A,2022-09-26,2025-11-07,18.44%,29.21%,-45.76%,0.563,140573.41%,44.96%,8.78%,110.78%,24.21%
016277,th,N/A,N/A,2022-09-26,2025-11-07,11.54%,17.12%,-22.66%,0.557,15151.06%,17.15%,6.50%,40.47%,9.08%
012808,th,N/A,N/A,2022-09-26,2025-11-07,13.05%,20.35%,-21.77%,0.543,2660.94%,20.84%,6.29%,46.84%,9.47%
012553,th,N/A,N/A,2022-09-26,2025-11-07,19.90%,33.10%,-44.09%,0.541,53831782.66%,50.57%,17.18%,324.45%,23.76%
015454,th,N/A,N/A,2022-09-26,2025-11-07,12.77%,20.02%,-26.17%,0.538,126653.73%,22.14%,8.34%,69.84%,11.32%
007413,th,N/A,N/A,2022-09-26,2025-11-07,11.10%,17.47%,-23.49%,0.521,4885.89%,17.17%,5.88%,37.05%,9.03%
014419,th,N/A,N/A,2022-09-26,2025-11-07,19.19%,34.00%,-45.86%,0.506,144452077.70%,55.14%,20.44%,413.06%,27.36%
012899,th,N/A,N/A,2022-09-26,2025-11-07,16.21%,28.23%,-36.21%,0.503,114061193.92%,45.71%,8.23%,234.46%,13.73%
013303,th,N/A,N/A,2022-09-26,2025-11-07,15.75%,27.65%,-37.87%,0.497,49206784.79%,47.31%,8.55%,258.33%,14.10%
014777,名称查找失败(014777),N/A,N/A,2022-09-26,2025-11-07,17.83%,32.90%,-44.96%,0.481,72767488.21%,48.38%,15.45%,323.93%,21.78%
004433,th,N/A,N/A,2022-09-26,2025-11-07,13.88%,24.76%,-35.12%,0.480,3691.41%,30.14%,5.60%,73.58%,11.54%
015577,th,N/A,N/A,2022-09-26,2025-11-07,10.78%,18.31%,-19.10%,0.480,1655.62%,17.25%,5.83%,37.85%,8.09%
007301,th,N/A,N/A,2022-09-26,2025-11-07,18.03%,33.46%,-45.27%,0.479,90826514.65%,50.06%,16.83%,367.58%,23.04%
012630,th,N/A,N/A,2022-09-26,2025-11-07,17.44%,32.30%,-42.88%,0.478,54151583.01%,49.21%,17.01%,357.24%,22.08%
013305,th,N/A,N/A,2022-09-26,2025-11-07,15.23%,28.04%,-38.22%,0.472,73783004.99%,46.22%,7.26%,227.59%,13.03%
008888,th,N/A,N/A,2022-09-26,2025-11-07,17.34%,32.73%,-43.17%,0.469,77217874.72%,48.94%,16.21%,348.05%,21.43%
012970,th,N/A,N/A,2022-09-26,2025-11-07,17.08%,32.34%,-43.02%,0.466,57382877.87%,47.71%,15.70%,319.06%,20.87%
015337,名称查找失败(015337),N/A,N/A,2022-09-26,2025-11-07,17.10%,32.96%,-45.06%,0.458,27576010.22%,45.85%,14.00%,285.14%,20.31%
015508,th,N/A,N/A,2022-09-26,2025-11-07,10.79%,19.21%,-28.55%,0.458,8273.77%,17.40%,6.53%,43.81%,8.96%
012908,th,N/A,N/A,2022-09-26,2025-11-07,14.93%,28.70%,-38.45%,0.451,173102313.05%,46.19%,7.17%,247.31%,12.92%
013318,th,N/A,N/A,2022-09-26,2025-11-07,14.36%,27.44%,-37.20%,0.450,40603306.31%,42.31%,5.79%,195.36%,11.40%
013299,th,N/A,N/A,2022-09-26,2025-11-07,14.74%,28.35%,-38.28%,0.449,88637738.18%,45.69%,6.80%,235.28%,12.56%
014332,th,N/A,N/A,2022-09-26,2025-11-07,13.83%,26.42%,-42.36%,0.448,30671.57%,41.30%,10.71%,99.56%,16.84%
012838,th,N/A,N/A,2022-09-26,2025-11-07,16.29%,32.74%,-45.23%,0.437,55158234.08%,46.22%,14.13%,309.47%,20.21%
013316,th,N/A,N/A,2022-09-26,2025-11-07,14.13%,27.93%,-38.21%,0.434,47821196.43%,43.27%,5.77%,207.97%,11.49%
014172,th,N/A,N/A,2022-09-26,2025-11-07,13.39%,26.32%,-33.33%,0.433,654118.82%,33.23%,8.86%,111.95%,13.44%
015600,th,N/A,N/A,2022-09-26,2025-11-07,13.55%,27.37%,-36.83%,0.422,94894157.94%,40.06%,7.03%,215.37%,12.47%
015788,th,N/A,N/A,2022-09-26,2025-11-07,14.70%,30.10%,-44.30%,0.422,106696616.30%,48.24%,12.94%,326.61%,18.78%
014219,th,N/A,N/A,2022-09-26,2025-11-07,13.90%,28.69%,-39.20%,0.415,20073619.81%,49.12%,5.94%,233.65%,12.28%
011036,th,N/A,N/A,2022-09-26,2025-11-07,13.06%,26.99%,-43.18%,0.410,31599.48%,42.25%,10.00%,103.72%,16.38%
011317,th,N/A,N/A,2022-09-26,2025-11-07,12.73%,26.86%,-37.32%,0.399,15233202.55%,36.08%,7.98%,190.71%,12.62%
013331,th,N/A,N/A,2022-09-26,2025-11-07,10.61%,22.13%,-32.86%,0.389,33234.29%,19.77%,6.14%,56.56%,9.38%
005795,th,N/A,N/A,2022-09-26,2025-11-07,9.66%,19.78%,-26.36%,0.387,41444.41%,18.41%,5.63%,49.71%,8.30%
160424,th,N/A,N/A,2022-09-26,2025-11-07,11.42%,24.93%,-36.50%,0.378,10165787.17%,34.24%,5.82%,145.47%,10.13%
014855,th,N/A,N/A,2022-09-26,2025-11-07,15.22%,35.05%,-46.34%,0.377,69662905.69%,48.48%,13.78%,256.21%,19.83%
012555,th,N/A,N/A,2022-09-26,2025-11-07,12.62%,28.69%,-41.80%,0.370,222024802.23%,47.89%,7.66%,294.45%,13.32%
008001,th,N/A,N/A,2022-09-26,2025-11-07,8.26%,17.45%,-25.44%,0.359,7513.65%,14.16%,3.27%,38.38%,5.79%
011613,th,N/A,N/A,2022-09-26,2025-11-07,12.40%,29.12%,-42.73%,0.357,105315410.80%,38.54%,8.84%,276.12%,14.33%
007029,th,N/A,N/A,2022-09-26,2025-11-07,9.14%,20.12%,-28.15%,0.355,51360.62%,17.84%,3.84%,56.24%,6.81%
014985,th,N/A,N/A,2022-09-26,2025-11-07,12.47%,29.70%,-42.64%,0.352,363818054.20%,47.57%,7.15%,290.62%,13.02%
005627,th,N/A,N/A,2022-09-26,2025-11-07,10.00%,22.74%,-34.33%,0.352,173596.68%,21.81%,6.65%,67.24%,9.49%
007223,th,N/A,N/A,2022-09-26,2025-11-07,8.95%,19.82%,-28.79%,0.351,49471.98%,18.45%,4.06%,61.57%,6.92%
007984,th,N/A,N/A,2022-09-26,2025-11-07,9.76%,22.18%,-36.71%,0.350,249135.61%,21.56%,2.54%,71.27%,7.81%
011611,th,N/A,N/A,2022-09-26,2025-11-07,12.15%,29.02%,-43.32%,0.350,106174737.25%,38.81%,8.95%,287.82%,14.46%
011609,th,N/A,N/A,2022-09-26,2025-11-07,12.09%,29.12%,-42.91%,0.346,77002619.07%,37.74%,8.60%,259.15%,13.98%
005919,th,N/A,N/A,2022-09-26,2025-11-07,8.92%,20.26%,-28.56%,0.341,63922.27%,17.75%,3.74%,57.25%,6.63%
015795,th,N/A,N/A,2022-09-26,2025-11-07,11.45%,27.70%,-39.46%,0.341,62209469.82%,36.66%,4.99%,163.03%,10.65%
016123,th,N/A,N/A,2022-09-26,2025-11-07,11.33%,27.59%,-39.64%,0.338,31625708.31%,41.67%,5.05%,180.28%,9.73%
015673,th,N/A,N/A,2022-09-26,2025-11-07,11.26%,27.74%,-38.70%,0.334,188305513.62%,37.71%,5.63%,217.46%,10.61%
012901,th,N/A,N/A,2022-09-26,2025-11-07,10.44%,25.97%,-39.27%,0.325,12859746.77%,31.71%,5.51%,127.60%,10.20%
001593,th,N/A,N/A,2022-09-26,2025-11-07,11.08%,28.01%,-38.82%,0.324,188555840.45%,36.89%,4.95%,206.12%,10.05%
013894,th,N/A,N/A,2022-09-26,2025-11-07,11.36%,28.97%,-43.18%,0.323,106560640.26%,37.48%,8.29%,266.00%,13.74%
013811,th,N/A,N/A,2022-09-26,2025-11-07,11.35%,29.18%,-43.43%,0.320,99825572.52%,37.20%,7.94%,264.10%,13.36%
501037,th,N/A,N/A,2022-09-26,2025-11-07,8.39%,19.98%,-28.30%,0.320,36320.91%,16.86%,3.05%,52.95%,6.00%
006382,th,N/A,N/A,2022-09-26,2025-11-07,8.40%,20.28%,-28.96%,0.316,67925.47%,17.26%,3.29%,57.51%,6.16%
070039,th,N/A,N/A,2022-09-26,2025-11-07,8.36%,20.23%,-28.73%,0.314,58223.41%,17.08%,3.15%,56.16%,6.07%
004348,名称查找失败(004348),N/A,N/A,2022-09-26,2025-11-07,7.93%,19.09%,-27.34%,0.311,27933.06%,15.40%,2.87%,47.62%,5.51%
004744,th,N/A,N/A,2022-09-26,2025-11-07,10.67%,28.10%,-39.77%,0.308,277917682.52%,36.94%,4.71%,216.96%,9.88%
006215,th,N/A,N/A,2022-09-26,2025-11-07,7.16%,16.74%,-25.34%,0.308,3963.54%,11.82%,1.95%,32.05%,4.29%
010063,th,N/A,N/A,2022-09-26,2025-11-07,7.35%,17.36%,-27.19%,0.308,1158.08%,15.68%,2.85%,36.82%,4.78%
010956,th,N/A,N/A,2022-09-26,2025-11-07,10.67%,28.59%,-34.95%,0.303,166500.08%,29.14%,11.39%,119.47%,15.05%
011965,th,N/A,N/A,2022-09-26,2025-11-07,8.11%,20.23%,-29.45%,0.302,63302.01%,17.44%,3.29%,58.75%,6.17%
012718,th,N/A,N/A,2022-09-26,2025-11-07,9.25%,24.31%,-39.16%,0.298,904586.61%,27.38%,1.86%,113.20%,6.93%
007665,th,N/A,N/A,2022-09-26,2025-11-07,9.20%,24.53%,-36.38%,0.294,9035208.04%,26.75%,3.15%,112.25%,7.14%
005727,th,N/A,N/A,2022-09-26,2025-11-07,8.92%,24.53%,-36.50%,0.282,544530.43%,24.38%,5.20%,103.19%,9.06%
010356,th,N/A,N/A,2022-09-26,2025-11-07,9.95%,28.37%,-39.34%,0.280,300837960.09%,35.66%,3.36%,207.97%,8.79%
013292,th,N/A,N/A,2022-09-26,2025-11-07,9.88%,28.35%,-34.68%,0.278,173837.56%,27.99%,10.60%,118.45%,14.15%
013277,th,N/A,N/A,2022-09-26,2025-11-07,8.59%,24.71%,-37.27%,0.267,8658321.16%,26.49%,2.71%,112.51%,6.68%
001301,th,N/A,N/A,2022-09-26,2025-11-07,7.23%,20.22%,-31.31%,0.259,1531.78%,17.25%,2.54%,41.48%,5.26%
007794,th,N/A,N/A,2022-09-26,2025-11-07,6.63%,19.44%,-28.12%,0.238,30256.73%,14.66%,2.75%,44.55%,5.53%
006910,th,N/A,N/A,2022-09-26,2025-11-07,6.96%,25.21%,-41.49%,0.197,2271469.91%,30.11%,2.96%,109.50%,7.90%
